tipo,Nombre_de_la_Serie,valor,categoria,anio,tipo2
66_anios_o_mas,2012/01,7859863,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/02,5142894,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/03,5957045,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/04,1668005,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/05,3030292,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/06,5182932,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/07,3785609,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/08,1798473,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/09,150677,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/10,2526353,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/11,1495365,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/12,1329533,edad,2012,66_anios_o_mas
66_anios_o_mas,2013/01,1034176,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/02,639238,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/03,1141083,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/04,428390,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/05,927240,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/06,2020037,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/07,1037145,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/08,409809,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/09,591184,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/10,200597,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/11,167953,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/12,555619,edad,2013,66_anios_o_mas
66_anios_o_mas,2014/01,712531,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/02,189512,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/03,1566578,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/04,1782195,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/05,1415406,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/06,1215424,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/07,1800454,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/08,2415402,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/09,452711,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/10,590010,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/11,759267,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/12,1966663,edad,2014,66_anios_o_mas
66_anios_o_mas,2015/01,1056152,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/02,1587953,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/03,1724670,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/04,1772197,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/05,1589116,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/06,2850556,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/07,3066647,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/08,2206391,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/09,3044117,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/10,5977782,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/11,2752477,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/12,3451701,edad,2015,66_anios_o_mas
66_anios_o_mas,2016/01,59924,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/02,2075937,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/03,799654,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/04,842565,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/05,1732674,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/06,640868,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/07,561857,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/08,2114732,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/09,1430337,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/10,1897971,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/11,1196244,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/12,1369667,edad,2016,66_anios_o_mas
66_anios_o_mas,2017/01,289093,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/02,636556,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/03,1884348,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/04,710040,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/05,884244,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/06,2350214,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/07,1438185,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/08,400688,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/09,1850867,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/10,1912371,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/11,1270511,edad,2017,66_anios_o_mas
66_anios_o_mas,2017/12,2050737,edad,2017,66_anios_o_mas
66_anios_o_mas,2018/01,0,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/02,2848056,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/03,215897,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/04,1130723,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/05,1289599,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/06,1210239,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/07,246759,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/08,246807,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/09,593909,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/10,624473,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/11,1570979,edad,2018,66_anios_o_mas
66_anios_o_mas,2018/12,2346947,edad,2018,66_anios_o_mas
66_anios_o_mas,2019/01,2565850,edad,2019,66_anios_o_mas
66_anios_o_mas,2019/02,2996834,edad,2019,66_anios_o_mas
66_anios_o_mas,2019/03,1292411,edad,2019,66_anios_o_mas
66_anios_o_mas,2019/04,0,edad,2019,66_anios_o_mas
66_anios_o_mas,2019/05,1286806,edad,2019,66_anios_o_mas
