tipo,Nombre_de_la_Serie,valor,categoria,anio,tipo2
66_anios_o_mas,2012/01,28,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/02,19,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/03,23,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/04,13,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/05,16,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/06,27,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/07,18,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/08,7,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/09,2,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/10,9,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/11,5,edad,2012,66_anios_o_mas
66_anios_o_mas,2012/12,6,edad,2012,66_anios_o_mas
66_anios_o_mas,2013/01,3,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/02,4,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/03,4,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/04,1,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/05,4,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/06,7,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/07,4,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/08,3,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/09,2,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/10,2,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/11,1,edad,2013,66_anios_o_mas
66_anios_o_mas,2013/12,2,edad,2013,66_anios_o_mas
66_anios_o_mas,2014/01,2,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/02,2,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/03,4,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/04,5,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/05,4,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/06,4,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/07,6,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/08,7,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/09,3,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/10,2,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/11,4,edad,2014,66_anios_o_mas
66_anios_o_mas,2014/12,5,edad,2014,66_anios_o_mas
66_anios_o_mas,2015/01,3,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/02,5,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/03,4,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/04,5,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/05,5,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/06,9,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/07,6,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/08,5,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/09,7,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/10,10,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/11,8,edad,2015,66_anios_o_mas
66_anios_o_mas,2015/12,9,edad,2015,66_anios_o_mas
66_anios_o_mas,2016/01,1,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/02,6,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/03,2,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/04,2,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/05,6,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/06,3,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/07,2,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/08,4,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/09,5,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/10,5,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/11,5,edad,2016,66_anios_o_mas
66_anios_o_mas,2016/12,3,edad,2016,66_anios_o_mas
66_anios_o_mas,2017/01,2,edad,2017,66_anios_o_mas
